Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,296.239990,300.600006,295.190002,300.350006,299.638885,33870100
2020-01-03,297.149994,300.579987,296.500000,297.429993,296.725769,36580700
2020-01-06,293.790009,299.959991,292.750000,299.799988,299.090149,29596800
2020-01-07,299.839996,300.899994,297.480011,298.390015,297.683533,27218000
2020-01-08,297.160004,304.440002,297.160004,303.190002,302.472137,33019800
2020-01-09,307.239990,310.429993,306.200012,309.630005,308.896912,42527100
2020-01-10,310.600006,312.670013,308.250000,310.329987,309.595215,35161200
2020-01-13,311.640015,317.070007,311.149994,316.959991,316.209534,30383000
2020-01-14,316.700012,317.570007,312.170013,312.679993,311.939667,40488600
2020-01-15,311.850006,315.500000,309.549988,311.339996,310.602844,30480900
2020-01-16,313.589996,315.700012,312.089996,315.239990,314.493591,27207300
2020-01-17,316.269989,318.739990,315.000000,318.730011,317.975372,34454100
2020-01-21,317.190002,319.019989,316.000000,316.570007,315.820465,27710800
2020-01-22,318.579987,319.989990,317.309998,317.700012,316.947815,25458100
2020-01-23,317.920013,319.559998,315.649994,319.230011,318.474182,26118000
2020-01-24,320.250000,323.329987,317.519989,318.309998,317.556335,36634400
2020-01-27,310.059998,311.769989,304.880005,308.950012,308.218506,40485000
2020-01-28,312.600006,318.399994,312.190002,317.690002,316.937805,40558500
2020-01-29,324.450012,327.850006,321.380005,324.339996,323.572052,54057300
2020-01-30,320.540009,324.089996,318.750000,323.869995,323.103180,31685800
2020-01-31,320.929993,322.679993,308.290009,309.510010,308.777191,49897100
